tconst;title;originalTitle;startYear;genres;actors;directors;poster_id;overview;origin_group;runtimeMinutes
tt0022064;Lebbra bianca;Lebbra bianca;1951;Drama;Amedeo Nazzari,Ermanno Randi,Folco Lulli;Enzo Trapani;/qv5VAcnethbKgn5XRutii8saeyt.jpg;Un inspecteur de police fait équipe avec un ancien militaire pour briser un réseau de trafiquants de drogue après la Seconde Guerre mondiale. Le vétéran a fait tuer sa sœur par les trafiquants de drogue et il court lui-même un grave danger.;européen;80
tt0031084;Beating Heart;Battement de coeur;1940;Comedy,Drama;André Luguet,Charles Dechamps,Claude Dauphin;Henri Decoin;/9k9tD5FJmODsPcVRRTBg2hzYkt7.jpg;Raconte l'histoire d'une jeune femme évadée d'une école de réforme qui tente de voler la montre d'un ambassadeur étranger mais finit par tomber amoureuse de lui.;français;97
tt0031356;Fűszer és csemege;Füszer és csemege;1940;Drama;Artúr Somlay,Attila Petheö,György Dénes;Ákos Ráthonyi;/6zMTOj2vJfTXTYjkvCwCnIawask.jpg;Aladár Puskás dirige son entreprise d'épices et d'épicerie fine depuis 54 ans. Le magasin est transmis au petit-fils du vieux Puskás, le frivole Aladár. Le magasin fait bientôt faillite. L'assistant du vieil homme, Márton, et son grand-...;européen;85
tt0031372;Giù il sipario;Giù il sipario;1940;Comedy;Achille Majeroni,Andrea Checchi,Armando Migliari;Raffaello Matarazzo;/ypbyc4kVaIEWn8p3CplgMCGYi1E.jpg;Un dramaturge, une troupe d'acteurs, un metteur en scène et l'oncle du dramaturge complotent les uns contre les autres pour leurs propres intérêts concernant le succès ou l'échec de la pièce.;européen;74
tt0031551;Una lampada alla finestra;Una lampada alla finestra;1940;Drama;Anna Magnani,Danilo Calamai,Laura Solari;Gino Talamo;;Un père désespéré, rendu fou par la mort de son fils bien-aimé, qu'il croyait à tort l'auteur d'un vol, place chaque soir une lampe allumée sur le rebord de la fenêtre dans l'espoir que son fils revienne. Un soir, un clochard que l'homme croit être son fils disparu frappe à la porte. Le nouvel arrivant rencontre la sœur du fils décédé et tombe amoureux d'elle en retour, mais considérant son histoire comme un échec, il préfère s'éloigner de chez lui pour commencer une nouvelle vie et mériter l'amour de la jeune femme. Le père, une fois de plus désespéré, remet la lampe dans la fenêtre.;européen;84
tt0031789;Pazza di gioia;Pazza di gioia;1940;Comedy;Enzo Biliotti,Giuseppe Pierozzi,Luigi Erminio D'Olivo;Carlo Ludovico Bragaglia;/r6PcwmHbGMNoNGIloLSWYyuvcQ7.jpg;"Aroldo Bianchi, commis comptable, gagne une voiture à la loterie et décide de passer une annonce dans le journal pour trouver un compagnon de voyage qui puisse contribuer aux frais d'un voyage d'agrément. Elle pose comme condition supplémentaire celle d'arriver au rendez-vous avec le klaxon d'un véhicule en main. Ayant reçu un billet signé de ses seules initiales d'une personne disposée à voyager avec lui, il l'attend dans le salon d'un hôtel luxueux et entre-temps commence à converser avec le comte Corrado Valli. À cause d'un malentendu, ce dernier comprend les intentions de son ami, et lorsqu'une belle fille, Liliana Casali, arrive, la corne à la main, il saisit l'heureuse occasion qui s'offre à lui et fait croire qu'il est le comptable, décidant de partir avec elle le lendemain matin et donnant vingt jours de vacances à Peppino, son majordome.
L'employé, quant à lui, reçoit une somme d'argent substantielle d'Alvaro Monteiro, chef de rayon du magasin de disques Do-re-mi et prétendant débouté de Liliana, déterminé à se venger de l'affront ; ne comprenant pas totalement ce qui s'est passé, elle décide de le suivre dans ses intentions. Le lendemain matin, six d'entre eux partent dans trois véhicules : Corrado avec Liliana, Alvaro avec Aroldo et même Peppino lui-même avec sa femme Rosetta, déterminé à profiter au maximum de ces vacances inattendues. Au cours du voyage, après divers événements, tous les six, en raison d'une série de circonstances, se retrouvent réunis pour rester.";européen;78
tt0032119;Weißer Flieder;Weißer Flieder;1940;Comedy,Romance;Elga Brink,Ethel Reschke,Grete Reinwald;Arthur Maria Rabenalt;/s9IGitMCppsOqMsBSQW0qETlkTu.jpg;Le playboy propriétaire d'une entreprise de fabrication de chaussettes offre un bouquet de lys blancs à chaque femme qui attire son attention. L'une d'elles offre une possibilité intéressante : elle possède sa propre entreprise de chaussettes. Vont-ils fusionner, de plus d'une manière...;européen;92
tt0032350;Comedy of Happiness;La comédie du bonheur;1940;Comedy;André Alerme,Jacqueline Delubac,Louis Jourdan;Marcel L'Herbier;/xvwDXpR7f3QfL1yjaEo1xgqoWYg.jpg;Monsieur Jourdain est un fou dangereux : il veut partager sa fortune ! Ses proches font ce que n’importe quelle personne sensée sur terre ferait : ils le font interner dans un hôpital psychiatrique. Mais Jourdain parvient à s'enfuir et décide de faire plaisir à tout le monde sauf... ses héritiers !;français;108
tt0032450;Falstaff in Wien;Falstaff in Wien;1940;Romance;Curt Cappi,Eduard Bornträger,Erna Berger;Leopold Hainisch;/7CSnb1Q2qtmPjpPYpTdMQnpc9yU.jpg;La vie du compositeur et chef d'orchestre Otto Nicholai. Il fut l'un des fondateurs de l'Orchestre Philharmonique de Vienne. On se souvient surtout de sa composition de l'opéra Les Joyeuses Commères de Windsor.;européen;92
tt0032625;Yes or No?;Igen vagy nem?;1940;Comedy;Antal Páger,Gerö Mály,Gizi Hernády;Viktor Bánky;/eMGkuVcdH4f93DQox47wC83a5y0.jpg;Comment une belle américaine divorcée s'est-elle retrouvée dans le lit du fiancé de sa meilleure amie juste après son retour à Budapest ?;européen;73
tt0032653;Jew Süss;Jud Süß;1940;Drama;Albert Florath,Else Elster,Eugen Klöpfer;Veit Harlan;/fctn88VnDq3c5ZfXG5o7OcMliTG.jpg;Drame historique nazi sur le duc Karl Alexandre de Wurtemberg et son trésorier Süß Oppenheimer.;européen;98
tt0032659;Karl för sin hatt;Karl för sin hatt;1940;Comedy;Adolf Jahr,Ann-Margret Bergendahl,Anna-Greta Adolphson;Schamyl Bauman;/tIX4bCNT9WUXMFvJZPD8zTy3FU4.jpg;Une fille urbaine tombe amoureuse d'un garde forestier robuste.;européen;106
